"id_article","description","image_url","title","url","category_id"
"1","Элегантная сумочка уже много десятилетий служит неотъемлемым штрихом, дополняющим женский образ.","/arts/images/01/Культовые сумки Chanel 2.55(stylenews.ru).jpg","Покупка сумочки: на что нужно обратить внимание?","/arts/BuyingHandbag.html","1"
"2","Советский лук: что из гардероба наших бабушек однозначно устарело","/arts/images/02/irenastyle.ru.jpg","Советский лук","/arts/SovietLook.html","1"
"3","Пожалуй, одной из гланой недавней новостью стала смерть королевы Великобритании Елизаветы II.","/arts/images/03/marieclaire.ru.jpg","Сокровища королевы: какими украшениями запомнилась Елизавета II?","/arts/TheQueensTreasures.html","1"
"4","Часто ли Вы оказываетесь перед собственным шкафом в недоумении – как из обилия вещей собрать...","/arts/images/04/modnica.info.jpg","7 преград на пути к созданию своего стиля","/arts/Obstacles.html","1"
"5","Уже ни у кого не осталось сомнений в том, что стиль – это отражение нашего внутреннего «я».","/arts/images/05/woman.ru.jpg","Как найти свой стиль по знаку зодиака?","/arts/ZodiacSign.html","1"
"6","Для того чтобы стильно одеваться без чьей-либо помощи – верной подруги, онлайн-консультанта или даже...","/arts/images/06/curious.ru.jpg","Насмотренность и чувство вкуса – что это такое и как их развить?","/arts/Viewability.html","1"
"7","Секрет эффективного похудения заключается не только в регулярных физических нагрузках, но и...","/arts/images/07/stopkilo.net.jpg","Типы ожирения и как с ними бороться?","/arts/TypeOfObesity.html","1"
"8","Представляем пять уловок от людей, которые ни разу в жизни не сидели на диетах и которые...","/arts/images/08/fitness-marina.ru.jpg","5 лайфхаков для похудения без диет","/arts/5lifehack.html","1"
"9","Не теряет своей актуальности тренд на принятие своего тела таким, какое оно есть, со всеми...","/arts/images/09/marieclaire.ru 2.jpg","5 фэшн-блогеров, которые пишут для полных девушек","/arts/FashionBlogger.html","1"
"10","Шокирующий факт - сахар вызывает привыкание в 8 раз сильнее, чем кокаин.","/arts/images/10/maggi.ru.jpg","Отказ от сахара: легко и приятно","/arts/GivingUpSugar.html","1"
