"id","author","value"
"1","Коко Шанель","Для того, чтобы быть незаменимой, нужно быть разной."
"2","Ив Сен-Лоран","Мода не просто делает женщин красивыми, она дает им уверенность в себе."
"3","Альбер Эльбаз","Чистые, сильные эмоции. Это не о дизайне. Это о чувствах."
"4","Карл Лагерфельд","Когда вы слышите, что дизайнеры жалуются на проблемы своей профессии, скажите: Не увлекаетесь, это всего лишь платья."
"5","Ральф Лорен","Мода - это не о лейблах. И не о брендах. Это о чем-то еще, что происходит внутри нас."
"6","Ив Сен-Лоран","Мы никогда не должны путать элегантность со снобизмом."
"7","Бетси Джонсон","Девочки одеваются не для мальчиков. Они одеваются для себя и, конечно, друг для друга. Если бы девочки одевались для мальчиков, они бы так и ходили все время голыми."
"8","Софи Лорен","Женское платье должно быть сродни колючей проволоке: делать свое дело, не портя пейзаж."
"9","Жан Кокто","Стиль – это простой способ говорить о сложных вещах."
"10","Мерилин Монро","Дайте девушке правильные туфли, и она сможет покорить мир."
